sample,fastq_1,fastq_2,experimentalID,fraction,sample_group
NPCwt_n1_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n1_S3_D7_S44_L001_R1_001.fastq.gz,,NPCwt_n1,S3,WT_NPC
NPCwt_n1_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n1_S2L_C7_S43_L002_R1_001.fastq.gz,,NPCwt_n1,S2L,WT_NPC
NPCwt_n1_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n1_S2L_C7_S43_L001_R1_001.fastq.gz,,NPCwt_n1,S2L,WT_NPC
ESCwt_n2_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n2_S4_B7_S42_L002_R1_001.fastq.gz,,ESCwt_n2,S4,WT_ESC
ESCwt_n2_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n2_S4_B7_S42_L001_R1_001.fastq.gz,,ESCwt_n2,S4,WT_ESC
ESCwt_n2_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n2_S3_A7_S41_L002_R1_001.fastq.gz,,ESCwt_n2,S3,WT_ESC
ESCwt_n2_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n2_S3_A7_S41_L001_R1_001.fastq.gz,,ESCwt_n2,S3,WT_ESC
ESCwt_n2_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n2_S2L_H6_S40_L002_R1_001.fastq.gz,,ESCwt_n2,S2L,WT_ESC
ESCwt_n2_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n2_S2L_H6_S40_L001_R1_001.fastq.gz,,ESCwt_n2,S2L,WT_ESC
ESCwt_n1_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n1_S4_G6_S39_L002_R1_001.fastq.gz,,ESCwt_n1,S4,WT_ESC
ESCwt_n1_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n1_S4_G6_S39_L001_R1_001.fastq.gz,,ESCwt_n1,S4,WT_ESC
ESCwt_n1_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n1_S3_F6_S38_L002_R1_001.fastq.gz,,ESCwt_n1,S3,WT_ESC
ESCwt_n1_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n1_S3_F6_S38_L001_R1_001.fastq.gz,,ESCwt_n1,S3,WT_ESC
ESCwt_n1_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n1_S2L_E6_S37_L002_R1_001.fastq.gz,,ESCwt_n1,S2L,WT_ESC
ESCwt_n1_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/ESCwt_n1_S2L_E6_S37_L001_R1_001.fastq.gz,,ESCwt_n1,S2L,WT_ESC
NPCmutR2_Ire_S4_H1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S4_H1_S38_L002_R1_001.fastq.gz,,NPCmutR2_Ire,S4,MUT_NPC
